Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
358,S,P,Player 1,219,57
359,P,P,Draw,219,57
360,S,R,Player 2,219,58
361,R,S,Player 1,220,58
362,R,R,Draw,220,58
363,S,P,Player 1,221,58
364,P,P,Draw,221,58
365,P,R,Player 1,222,58
366,R,S,Player 1,223,58
367,R,S,Player 1,224,58
368,S,P,Player 1,225,58
369,S,P,Player 1,226,58
370,P,R,Player 1,227,58
371,R,R,Draw,227,58
372,R,S,Player 1,228,58
373,R,P,Player 2,228,59
374,S,P,Player 1,229,59
375,P,P,Draw,229,59
376,S,R,Player 2,229,60
377,R,S,Player 1,230,60
378,R,R,Draw,230,60
379,S,P,Player 1,231,60
380,P,P,Draw,231,60
381,P,R,Player 1,232,60
382,R,S,Player 1,233,60
383,R,S,Player 1,234,60
384,S,P,Player 1,235,60
385,S,P,Player 1,236,60
386,P,R,Player 1,237,60
387,R,R,Draw,237,60
388,R,S,Player 1,238,60
389,R,P,Player 2,238,61
390,S,P,Player 1,239,61
391,P,P,Draw,239,61
392,S,R,Player 2,239,62
393,R,S,Player 1,240,62
394,R,R,Draw,240,62
395,S,P,Player 1,241,62
396,P,P,Draw,241,62
397,P,R,Player 1,242,62
398,R,S,Player 1,243,62
399,R,S,Player 1,244,62
400,S,P,Player 1,245,62
401,S,P,Player 1,246,62
402,P,R,Player 1,247,62
403,R,R,Draw,247,62
404,R,S,Player 1,248,62
405,R,P,Player 2,248,63
406,S,P,Player 1,249,63
407,P,P,Draw,249,63
408,S,R,Player 2,249,64
409,R,S,Player 1,250,64
410,R,R,Draw,250,64
411,S,P,Player 1,251,64
412,P,P,Draw,251,64
413,P,R,Player 1,252,64
414,R,S,Player 1,253,64
415,R,S,Player 1,254,64
416,S,P,Player 1,255,64
417,S,P,Player 1,256,64
418,P,R,Player 1,257,64
419,R,R,Draw,257,64
420,R,S,Player 1,258,64
421,S,P,Player 1,259,64
422,S,P,Player 1,260,64
423,P,R,Player 1,261,64
424,R,R,Draw,261,64
425,R,S,Player 1,262,64
426,S,P,Player 1,263,64
427,S,P,Player 1,264,64
428,P,R,Player 1,265,64
429,R,R,Draw,265,64
430,R,S,Player 1,266,64
431,S,P,Player 1,267,64
432,S,P,Player 1,268,64
433,P,R,Player 1,269,64
434,R,R,Draw,269,64
435,R,S,Player 1,270,64
436,S,P,Player 1,271,64
437,S,P,Player 1,272,64
438,P,R,Player 1,273,64
439,R,R,Draw,273,64
440,R,S,Player 1,274,64
441,S,P,Player 1,275,64
442,S,P,Player 1,276,64
443,P,R,Player 1,277,64
444,R,R,Draw,277,64
445,R,S,Player 1,278,64
446,S,P,Player 1,279,64
447,S,P,Player 1,280,64
448,P,R,Player 1,281,64
449,R,R,Draw,281,64
450,R,S,Player 1,282,64
451,S,P,Player 1,283,64
452,S,P,Player 1,284,64
453,P,R,Player 1,285,64
454,R,R,Draw,285,64
455,R,S,Player 1,286,64
456,S,P,Player 1,287,64
457,S,P,Player 1,288,64
458,P,R,Player 1,289,64
459,R,R,Draw,289,64
460,R,S,Player 1,290,64
461,S,P,Player 1,291,64
462,S,P,Player 1,292,64
463,P,R,Player 1,293,64
464,R,R,Draw,293,64
465,R,S,Player 1,294,64
466,S,P,Player 1,295,64
467,S,P,Player 1,296,64
468,P,R,Player 1,297,64
469,R,R,Draw,297,64
470,R,S,Player 1,298,64
471,S,P,Player 1,299,64
472,S,P,Player 1,300,64
473,P,R,Player 1,301,64
474,R,R,Draw,301,64
475,R,S,Player 1,302,64
476,S,P,Player 1,303,64
477,S,P,Player 1,304,64
478,P,R,Player 1,305,64
479,R,R,Draw,305,64
480,R,S,Player 1,306,64
481,S,P,Player 1,307,64
482,S,P,Player 1,308,64
483,P,R,Player 1,309,64
484,R,R,Draw,309,64
485,R,S,Player 1,310,64
486,S,P,Player 1,311,64
487,S,P,Player 1,312,64
488,P,R,Player 1,313,64
489,R,R,Draw,313,64
490,R,S,Player 1,314,64
491,S,P,Player 1,315,64
492,S,P,Player 1,316,64
493,P,R,Player 1,317,64
494,R,R,Draw,317,64
495,R,S,Player 1,318,64
496,S,P,Player 1,319,64
497,S,P,Player 1,320,64
498,P,R,Player 1,321,64
499,R,R,Draw,321,64
500,R,S,Player 1,322,64
501,S,P,Player 1,323,64
502,S,P,Player 1,324,64
503,P,R,Player 1,325,64
504,R,R,Draw,325,64
505,R,S,Player 1,326,64
506,S,P,Player 1,327,64
507,S,P,Player 1,328,64
508,P,R,Player 1,329,64
509,R,R,Draw,329,64
510,R,S,Player 1,330,64
511,S,P,Player 1,331,64
512,S,P,Player 1,332,64
513,P,R,Player 1,333,64
514,P,R,Player 1,334,64
515,R,S,Player 1,335,64
516,S,S,Draw,335,64
517,S,P,Player 1,336,64
518,S,R,Player 2,336,65
519,P,R,Player 1,337,65
520,R,R,Draw,337,65
521,S,S,Draw,337,65
522,S,P,Player 1,338,65
523,S,R,Player 2,338,66
524,P,R,Player 1,339,66
525,R,R,Draw,339,66
526,S,S,Draw,339,66
527,S,P,Player 1,340,66
528,S,R,Player 2,340,67
529,P,R,Player 1,341,67
530,R,R,Draw,341,67
531,R,S,Player 1,342,67
532,S,P,Player 1,343,67
533,S,P,Player 1,344,67
534,P,R,Player 1,345,67
535,P,R,Player 1,346,67
536,R,S,Player 1,347,67
537,S,S,Draw,347,67
538,S,P,Player 1,348,67
539,S,R,Player 2,348,68
540,P,R,Player 1,349,68
541,R,R,Draw,349,68
542,R,S,Player 1,350,68
543,S,P,Player 1,351,68
544,S,P,Player 1,352,68
545,P,R,Player 1,353,68
546,P,R,Player 1,354,68
547,R,S,Player 1,355,68
548,S,S,Draw,355,68
549,S,P,Player 1,356,68
550,S,R,Player 2,356,69
551,P,R,Player 1,357,69
552,R,R,Draw,357,69
553,R,S,Player 1,358,69
554,S,P,Player 1,359,69
555,S,P,Player 1,360,69
556,P,R,Player 1,361,69
557,P,R,Player 1,362,69
558,R,S,Player 1,363,69
559,S,S,Draw,363,69
560,S,P,Player 1,364,69
561,S,R,Player 2,364,70
