Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
639,S,P,Player 1,469,163
640,P,R,Player 1,470,163
641,R,S,Player 1,471,163
642,S,P,Player 1,472,163
643,P,R,Player 1,473,163
644,P,S,Player 2,473,164
645,S,S,Draw,473,164
646,S,R,Player 2,473,165
647,P,R,Player 1,474,165
648,S,S,Draw,474,165
649,S,R,Player 2,474,166
650,S,R,Player 2,474,167
651,S,R,Player 2,474,168
652,R,R,Draw,474,168
653,R,P,Player 2,474,169
654,S,P,Player 1,475,169
655,P,R,Player 1,476,169
656,R,S,Player 1,477,169
657,S,P,Player 1,478,169
658,P,R,Player 1,479,169
659,P,S,Player 2,479,170
660,S,S,Draw,479,170
661,S,R,Player 2,479,171
662,P,R,Player 1,480,171
663,S,S,Draw,480,171
664,S,R,Player 2,480,172
665,S,R,Player 2,480,173
666,R,R,Draw,480,173
667,R,P,Player 2,480,174
668,S,P,Player 1,481,174
669,P,R,Player 1,482,174
670,R,S,Player 1,483,174
671,S,P,Player 1,484,174
672,P,R,Player 1,485,174
673,P,S,Player 2,485,175
674,S,S,Draw,485,175
675,S,R,Player 2,485,176
676,P,R,Player 1,486,176
677,R,S,Player 1,487,176
678,S,P,Player 1,488,176
679,P,R,Player 1,489,176
680,P,S,Player 2,489,177
681,S,S,Draw,489,177
682,S,R,Player 2,489,178
683,P,R,Player 1,490,178
684,R,S,Player 1,491,178
685,S,P,Player 1,492,178
686,P,R,Player 1,493,178
687,P,S,Player 2,493,179
688,R,S,Player 1,494,179
689,S,P,Player 1,495,179
690,S,R,Player 2,495,180
691,P,R,Player 1,496,180
692,R,S,Player 1,497,180
693,S,P,Player 1,498,180
694,P,R,Player 1,499,180
695,P,S,Player 2,499,181
696,R,S,Player 1,500,181
697,S,P,Player 1,501,181
698,S,R,Player 2,501,182
699,P,R,Player 1,502,182
700,R,S,Player 1,503,182
701,S,P,Player 1,504,182
702,P,R,Player 1,505,182
703,P,S,Player 2,505,183
704,R,S,Player 1,506,183
705,S,P,Player 1,507,183
706,P,R,Player 1,508,183
707,P,S,Player 2,508,184
708,R,S,Player 1,509,184
709,S,P,Player 1,510,184
710,P,R,Player 1,511,184
711,P,S,Player 2,511,185
712,R,S,Player 1,512,185
713,S,P,Player 1,513,185
714,P,R,Player 1,514,185
715,P,S,Player 2,514,186
716,R,S,Player 1,515,186
717,S,P,Player 1,516,186
718,P,R,Player 1,517,186
719,P,S,Player 2,517,187
720,R,S,Player 1,518,187
721,S,P,Player 1,519,187
722,P,R,Player 1,520,187
723,P,S,Player 2,520,188
724,R,S,Player 1,521,188
725,S,P,Player 1,522,188
726,P,R,Player 1,523,188
727,P,S,Player 2,523,189
728,R,S,Player 1,524,189
729,S,P,Player 1,525,189
730,P,R,Player 1,526,189
731,P,S,Player 2,526,190
732,R,S,Player 1,527,190
733,S,P,Player 1,528,190
734,P,R,Player 1,529,190
735,P,S,Player 2,529,191
736,R,S,Player 1,530,191
737,S,P,Player 1,531,191
738,P,R,Player 1,532,191
739,P,S,Player 2,532,192
740,R,S,Player 1,533,192
741,S,P,Player 1,534,192
742,P,R,Player 1,535,192
743,P,S,Player 2,535,193
744,R,S,Player 1,536,193
745,S,P,Player 1,537,193
746,P,R,Player 1,538,193
747,P,S,Player 2,538,194
748,R,S,Player 1,539,194
749,S,P,Player 1,540,194
750,P,R,Player 1,541,194
751,P,S,Player 2,541,195
752,R,S,Player 1,542,195
753,S,P,Player 1,543,195
754,P,R,Player 1,544,195
755,P,S,Player 2,544,196
756,R,S,Player 1,545,196
757,S,P,Player 1,546,196
758,P,R,Player 1,547,196
759,P,S,Player 2,547,197
760,R,S,Player 1,548,197
761,S,P,Player 1,549,197
762,P,R,Player 1,550,197
763,P,S,Player 2,550,198
764,R,S,Player 1,551,198
765,S,P,Player 1,552,198
766,P,R,Player 1,553,198
767,P,S,Player 2,553,199
768,R,S,Player 1,554,199
769,S,P,Player 1,555,199
770,P,R,Player 1,556,199
771,P,S,Player 2,556,200
772,R,S,Player 1,557,200
773,S,P,Player 1,558,200
774,P,R,Player 1,559,200
775,P,S,Player 2,559,201
776,R,S,Player 1,560,201
777,S,P,Player 1,561,201
778,P,R,Player 1,562,201
779,P,S,Player 2,562,202
780,R,S,Player 1,563,202
781,S,P,Player 1,564,202
782,P,R,Player 1,565,202
783,P,S,Player 2,565,203
784,R,S,Player 1,566,203
785,S,P,Player 1,567,203
786,P,R,Player 1,568,203
787,P,S,Player 2,568,204
788,R,S,Player 1,569,204
789,S,P,Player 1,570,204
